Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Manufacturer_minmax,Model_minmax,Sales_in_thousands_minmax,__year_resale_value_minmax,Vehicle_type_minmax,Price_in_thousands_minmax,Engine_size_minmax,Horsepower_minmax,Wheelbase_minmax,Width_minmax,Length_minmax,Curb_weight_minmax,Fuel_capacity_minmax,Fuel_efficiency_minmax,Latest_Launch_minmax,Power_perf_factor_minmax,Manufacturer_zscore,Model_zscore,Sales_in_thousands_zscore,__year_resale_value_zscore,Vehicle_type_zscore,Price_in_thousands_zscore,Engine_size_zscore,Horsepower_zscore,Wheelbase_zscore,Width_zscore,Length_zscore,Curb_weight_zscore,Fuel_capacity_zscore,Fuel_efficiency_zscore,Latest_Launch_zscore,Power_perf_factor_zscore
0,79,16.919,16.36,1,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,47,58.28014952,0,0.509677419,0.031101802,0.179515948,1,0.160820822,0.114285714,0.215189873,0.186550976,0.271676301,0.306258322,0.202338863,0.133640553,0.433333333,0.364341085,0.212314497,-1.694221043,0.029623112,-0.532042294,-0.080850666,0.59451516,-0.410052704,-1.214376471,-0.814576779,-0.82766074,-1.121286714,-1.119970983,-1.182725573,-1.228700187,0.982264179,-0.459470805,-0.750757235
0,143,39.384,19.875,1,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,93,91.37077766,0,0.922580645,0.072668938,0.235855105,1,0.251294827,0.314285714,0.430379747,0.336225597,0.445086705,0.579227696,0.441120479,0.31797235,0.333333333,0.720930233,0.413024264,-1.694221043,1.453800281,-0.200760806,0.265588064,0.59451516,0.075070233,0.134385269,0.694066219,0.081121826,-0.246688648,0.416069674,0.223285288,-0.193380561,0.272683767,0.755577951,0.577776377
0,25,14.114,18.225,1,22.799,3.2,225,106.9,70.6,192,3.47,17.2,26,9,72.03091719,0,0.161290323,0.025911692,0.209408559,1,0.177853537,0.314285714,0.430379747,0.310195228,0.462427746,0.567243675,0.428338319,0.31797235,0.366666667,0.069767442,0.295719181,-1.694221043,-1.172026375,-0.573406398,0.102963909,0.59451516,-0.318723038,0.134385269,0.694066219,-0.076927316,-0.159228841,0.348633742,0.148020469,-0.193380561,0.509210571,-1.463206733,-0.198686813
0,115,8.588,29.725,1,42,3.5,210,114.6,71.4,196.6,3.85,18,22,52,91.38977933,0,0.741935484,0.015686899,0.39373297,1,0.429620403,0.357142857,0.392405063,0.477223427,0.50867052,0.62849534,0.531683438,0.35483871,0.233333333,0.403100775,0.413139518,-1.694221043,0.83072277,-0.654895893,1.236404989,0.59451516,1.031254574,0.423405642,0.427835101,0.937221344,0.07399731,0.69330628,0.756544532,0.013683364,-0.436896644,-0.327400288,0.578539262
1,8,20.397,22.255,1,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,20,62.7776392,0.034482759,0.051612903,0.037537168,0.274002244,1,0.193470137,0.114285714,0.240506329,0.21691974,0.323699422,0.380825566,0.299972804,0.281105991,0.4,0.15503876,0.239593825,-1.577506386,-1.550323435,-0.480753756,0.500161088,0.59451516,-0.234986601,-1.214376471,-0.637089368,-0.643270074,-0.858907294,-0.700369633,-0.607830472,-0.400444486,0.745737375,-1.172651596,-0.570190514
1,9,18.78,23.555,1,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,119,84.56510502,0.034482759,0.058064516,0.034545222,0.294838916,1,0.324067397,0.257142857,0.367088608,0.349240781,0.780346821,0.567243675,0.453086756,0.377880184,0.233333333,0.92248062,0.371744752,-1.577506386,-1.528070667,-0.504598945,0.62828921,0.59451516,0.465277814,-0.250975228,0.25034769,0.160146397,1.444200947,0.348633742,0.293745969,0.143098318,-0.436896644,1.442344638,0.304539955
1,10,1.38,39,1,62,4.2,310,113,74,198.2,3.902,23.7,21,50,134.6568582,0.034482759,0.064516129,0.002349889,0.542394615,1,0.691863896,0.457142857,0.64556962,0.442516269,0.658959538,0.649800266,0.545825401,0.617511521,0.2,0.387596899,0.675574106,-1.577506386,-1.505817899,-0.761189103,2.150549859,0.59451516,2.437408017,1.097786511,2.202709217,0.726489155,0.831982301,0.81319238,0.839816246,1.489013831,-0.673423448,-0.380228494,2.315640423
2,3,19.747,14.18,1,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,91,71.19120671,0.068965517,0.019354839,0.036334469,0.144574451,1,0.232806661,0.214285714,0.291139241,0.318872017,0.335260116,0.354194407,0.349197716,0.290322581,0.366666667,0.705426357,0.290625953,-1.460791729,-1.661587277,-0.490339021,-0.29571167,0.59451516,-0.024063584,-0.539995601,-0.282114545,-0.024244269,-0.800600757,-0.850227258,-0.317980852,-0.348678505,0.509210571,0.702749744,-0.23239979
2,4,9.231,28.675,1,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,7,81.87706856,0.068965517,0.025806452,0.016876646,0.37690335,1,0.316855701,0.257142857,0.349367089,0.318872017,0.341040462,0.354194407,0.354093011,0.290322581,0.3,0.054263566,0.355440584,-1.460791729,-1.639334508,-0.645413854,1.13291689,0.59451516,0.426608594,-0.250975228,0.126106502,-0.024244269,-0.771447488,-0.850227258,-0.289156028,-0.348678505,0.036156964,-1.516034939,0.196619767
2,7,17.527,36.125,1,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,73,83.9987238,0.068965517,0.04516129,0.032226788,0.496313512,1,0.388972661,0.257142857,0.349367089,0.407809111,0.479768786,0.513981358,0.428882241,0.377880184,0.333333333,0.565891473,0.368309392,-1.460791729,-1.572576204,-0.523076386,1.867189589,0.59451516,0.813300791,-0.250975228,0.126106502,0.515756966,-0.071769035,0.048918492,0.151223228,0.143098318,0.272683767,0.227295883,0.281800692
