Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
0,79,16.919,16.36,1,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,47,58.28014952
0,143,39.384,19.875,1,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,93,91.37077766
0,25,14.114,18.225,1,22.799,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,9,72.03091719
0,115,8.588,29.725,1,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,52,91.38977933
1,8,20.397,22.255,1,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,20,62.7776392
1,9,18.78,23.555,1,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,119,84.56510502
1,10,1.38,39.0,1,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,50,134.6568582
2,3,19.747,14.18,1,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0,91,71.19120671
2,4,9.231,28.675,1,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,7,81.87706856
2,7,17.527,36.125,1,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,73,83.9987238
3,38,91.561,12.475,1,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,25,71.18145132
3,121,39.35,13.74,1,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,129,95.63670253
3,107,27.851,20.19,1,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,57,85.82840825
3,89,83.257,13.36,1,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,101,84.25452581
4,51,63.729,22.525,1,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,48,113.8545976
4,137,15.943,27.1,1,44.475,4.6,275.0,112.2,75.0,201.0,3.342,18.5,22.0,72,115.6213578
4,58,6.536,25.725,1,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,29,113.7658739
4,35,11.185,18.225,1,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,128,83.48309358
4,59,14.785,14.18,0,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,67,109.5091165
5,36,145.519,9.25,1,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,109,46.36334747
5,92,135.126,11.225,1,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,55,67.31446216
5,90,24.629,10.31,1,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,79,69.9913956
5,97,42.593,11.525,1,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,38,72.03091719
5,30,26.402,13.025,1,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,15,81.11854333
5,46,17.947,36.225,1,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,75,141.14115
5,111,32.299,9.125,1,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,122,48.2976361
5,94,21.855,5.16,1,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,65,23.27627233
5,78,107.995,14.18,1,18.89,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,87,71.83803944
6,135,7.854,12.36,1,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,3,65.95718396
6,134,32.775,14.18,1,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,24,69.52135505
6,42,31.148,13.725,1,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,95,80.02378204
6,40,32.306,12.64,1,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,19,53.56619987
6,83,13.462,17.325,1,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,82,101.3292807
6,146,53.48,19.54,0,22.799,3.0,177.5,107.0,70.55,187.9,3.342,17.2,24.0,99,72.03091719
